mnist,1,1,76.868506,"(7.415, 174.75955200195312)","(11.781285, 167.06454467773438)","(16.142457, 160.34458923339844)","(20.471777, 154.0524139404297)","(24.853983, 148.07888793945312)","(29.173278, 142.40757751464844)","(33.533828, 137.0264434814453)","(37.834708, 131.92184448242188)","(42.152495, 127.09090423583984)","(46.510259, 122.52197265625)","(50.855475, 118.21924591064453)","(55.185363, 114.1601333618164)","(59.527241, 110.3284912109375)","(63.850366, 106.71961975097656)","(68.192135, 103.30681610107422)","(72.546272, 100.09104919433594)","(76.868449, 97.05377960205078)"
mnist,1,1,78.689272,"(7.753636, 174.759521484375)","(12.202623, 167.06443786621094)","(16.644441, 160.34458923339844)","(21.103925, 154.05238342285156)","(25.544624, 148.07862854003906)","(29.964796, 142.4075164794922)","(34.392916, 137.02639770507812)","(38.807292, 131.9219512939453)","(43.242896, 127.09072875976562)","(47.674472, 122.52200317382812)","(52.123388, 118.21929168701172)","(56.563564, 114.16015625)","(60.964416, 110.32844543457031)","(65.396851, 106.71968078613281)","(69.831811, 103.30689239501953)","(74.275349, 100.09093475341797)","(78.689217, 97.05377960205078)"
mnist,1,2,105.453579,"(12.827591, 174.75587463378906)","(17.981459, 167.05184936523438)","(23.801629, 160.3239288330078)","(29.682077, 154.0257110595703)","(35.567062, 148.04507446289062)","(41.34667, 142.3677978515625)","(47.147438, 136.9817657470703)","(52.913477, 131.87355041503906)","(58.781015, 127.03833770751953)","(65.347603, 122.46551513671875)","(70.467524, 118.15790557861328)","(76.293959, 114.09593200683594)","(82.127535, 110.2610855102539)","(87.981555, 106.64746856689453)","(93.82288, 103.23475646972656)","(99.604356, 100.01605987548828)","(105.453518, 96.97769927978516)"
mnist,1,2,105.844095,"(12.0024, 174.755859375)","(18.637465, 167.05186462402344)","(24.507571, 160.32398986816406)","(30.381204, 154.0256805419922)","(36.282534, 148.04507446289062)","(42.121087, 142.36785888671875)","(47.968023, 136.98175048828125)","(53.105037, 131.87347412109375)","(59.732951, 127.03844451904297)","(65.594591, 122.46564483642578)","(71.444675, 118.15784454345703)","(77.27169, 114.09609985351562)","(83.164309, 110.26110076904297)","(89.015905, 106.6474838256836)","(94.865764, 103.23485565185547)","(100.7025, 100.01605224609375)","(105.844036, 96.9776840209961)"
mnist,1,3,131.339918,"(17.274655, 174.7557830810547)","(24.639562, 167.0574188232422)","(30.977012, 160.33563232421875)","(38.09888, 154.0400848388672)","(45.225828, 148.06198120117188)","(52.48161, 142.38743591308594)","(59.664689, 137.00184631347656)","(66.838342, 131.89511108398438)","(73.999895, 127.06212615966797)","(81.144972, 122.49048614501953)","(88.304333, 118.1848373413086)","(95.497131, 114.12330627441406)","(102.649273, 110.28843688964844)","(109.86935, 106.67704772949219)","(117.032049, 103.26412963867188)","(124.207059, 100.0459213256836)","(131.339848, 97.00836181640625)"
mnist,1,3,130.380461,"(16.649795, 174.7558135986328)","(23.834763, 167.0572967529297)","(30.934613, 160.33551025390625)","(38.114914, 154.04017639160156)","(45.116002, 148.06198120117188)","(52.098745, 142.38748168945312)","(59.246645, 137.0018768310547)","(66.397966, 131.89529418945312)","(73.520358, 127.06233215332031)","(80.650616, 122.49029541015625)","(87.771168, 118.18486022949219)","(94.856023, 114.12297058105469)","(101.942315, 110.28857421875)","(109.077625, 106.67684936523438)","(116.158343, 103.26409912109375)","(123.323618, 100.04584503173828)","(130.380365, 97.00804901123047)"
mnist,1,4,150.375135,"(22.022777, 174.7495574951172)","(31.38704, 167.02130126953125)","(39.281746, 160.27728271484375)","(49.286977, 153.96493530273438)","(57.114435, 147.9722137451172)","(64.326616, 142.28404235839844)","(73.614307, 136.8865966796875)","(81.5499, 131.77137756347656)","(91.711184, 126.92510223388672)","(98.715632, 122.34830474853516)","(108.708623, 118.0331802368164)","(116.628722, 113.9678955078125)","(125.969342, 110.1268310546875)","(133.891604, 106.50900268554688)","(141.753482, 103.09362030029297)","(150.375056, 99.87257385253906)"
mnist,1,4,149.937612,"(21.596938, 174.7495574951172)","(30.853626, 167.0212860107422)","(38.792171, 160.27725219726562)","(47.350783, 153.9650115966797)","(55.939759, 147.97206115722656)","(64.538949, 142.28395080566406)","(73.093761, 136.88673400878906)","(81.743124, 131.77137756347656)","(90.215605, 126.92503356933594)","(98.811815, 122.34850311279297)","(107.292215, 118.03317260742188)","(115.844201, 113.96794891357422)","(124.330907, 110.12669372558594)","(132.891702, 106.50898742675781)","(141.400122, 103.09307861328125)","(149.937546, 99.872802734375)"
mnist,1,5,182.403847,"(27.147376, 174.76673889160156)","(36.586692, 167.09405517578125)","(45.71235, 160.39259338378906)","(55.520453, 154.11404418945312)","(65.330365, 148.15301513671875)","(75.314946, 142.4927215576172)","(85.026714, 137.12164306640625)","(94.782964, 132.02809143066406)","(104.542078, 127.2060317993164)","(114.255741, 122.64702606201172)","(123.971479, 118.34917449951172)","(133.616953, 114.2948989868164)","(143.227938, 110.46797180175781)","(153.015458, 106.86104583740234)","(162.80173, 103.45496368408203)","(172.50567, 100.24134063720703)","(182.403763, 97.2091064453125)"
mnist,1,5,184.642781,"(25.927875, 174.76675415039062)","(35.848673, 167.0941162109375)","(45.907941, 160.39251708984375)","(55.807661, 154.1140594482422)","(66.422862, 148.15280151367188)","(75.747923, 142.49273681640625)","(85.558805, 137.12171936035156)","(96.280341, 132.02828979492188)","(106.062771, 127.20608520507812)","(115.425662, 122.64693450927734)","(125.179732, 118.34942626953125)","(135.709577, 114.29486083984375)","(145.668049, 110.46800231933594)","(154.991793, 106.86082458496094)","(164.862536, 103.45499420166016)","(176.605685, 100.24137878417969)","(184.642709, 97.20879364013672)"
mnist,1,6,201.165222,"(30.522135, 174.75640869140625)","(41.946362, 167.0469970703125)","(53.4274, 160.31492614746094)","(64.695009, 154.01173400878906)","(76.119555, 148.02745056152344)","(87.445459, 142.3452911376953)","(98.838713, 136.95372009277344)","(110.224183, 131.84083557128906)","(121.633043, 127.00108337402344)","(133.029555, 122.4277572631836)","(144.414266, 118.1153564453125)","(155.730498, 114.04984283447266)","(167.012075, 110.21180725097656)","(178.300682, 106.59339141845703)","(189.725548, 103.17999267578125)","(201.165158, 99.95785522460938)"
mnist,1,6,201.602168,"(30.840935, 174.75640869140625)","(44.241392, 167.04701232910156)","(53.635604, 160.31497192382812)","(65.005252, 154.01177978515625)","(76.373077, 148.02731323242188)","(89.122914, 142.34521484375)","(100.504067, 136.95364379882812)","(111.752766, 131.84068298339844)","(121.793184, 127.00130462646484)","(134.579935, 122.42774963378906)","(145.338546, 118.11548614501953)","(157.493175, 114.04969024658203)","(168.790044, 110.21143341064453)","(178.766986, 106.59297180175781)","(190.837292, 103.17971801757812)","(201.602099, 99.95771026611328)"
mnist,1,7,240.148601,"(38.473158, 174.77200317382812)","(50.107545, 167.08010864257812)","(62.913576, 160.3665313720703)","(76.229648, 154.0806884765625)","(89.092344, 148.112548828125)","(101.069507, 142.44598388671875)","(112.929138, 137.06808471679688)","(127.03486, 131.96937561035156)","(138.609884, 127.14280700683594)","(152.818422, 122.57894897460938)","(164.192136, 118.27792358398438)","(177.04418, 114.22144317626953)","(189.855175, 110.3923568725586)","(203.913585, 106.78099822998047)","(216.585218, 103.37388610839844)","(228.19355, 100.15953063964844)","(240.148536, 97.12641143798828)"
mnist,1,7,239.782198,"(35.923343, 174.77194213867188)","(48.62392, 167.08010864257812)","(61.334018, 160.3664093017578)","(74.777632, 154.0808563232422)","(86.917659, 148.112548828125)","(99.490261, 142.44607543945312)","(112.204667, 137.068115234375)","(124.973878, 131.96946716308594)","(137.710348, 127.14282989501953)","(150.631047, 122.57894134521484)","(163.328562, 118.27748107910156)","(175.963131, 114.2214584350586)","(188.754599, 110.39236450195312)","(201.432445, 106.7813949584961)","(214.296165, 103.37405395507812)","(227.070076, 100.15943908691406)","(239.782107, 97.12654876708984)"
mnist,1,8,279.28652,"(60.262845, 174.7493438720703)","(76.886125, 167.0157012939453)","(88.793259, 160.26861572265625)","(105.034479, 153.9528350830078)","(117.731882, 147.95706176757812)","(134.752395, 142.2672882080078)","(148.40038, 136.86648559570312)","(164.199191, 131.7491455078125)","(179.710799, 126.90169525146484)","(193.830333, 122.32422637939453)","(205.996112, 118.0061264038086)","(222.755551, 113.93840789794922)","(236.15622, 110.099365234375)","(251.860649, 106.47758483886719)","(266.890645, 103.06340026855469)","(279.28645, 99.84170532226562)"
mnist,1,8,262.139024,"(46.303864, 174.7493438720703)","(62.268374, 167.01568603515625)","(74.903372, 160.26866149902344)","(89.384958, 153.95298767089844)","(103.55556, 147.95712280273438)","(119.626642, 142.26712036132812)","(134.952583, 136.8665771484375)","(148.396543, 131.7490997314453)","(161.891431, 126.90184020996094)","(176.715605, 122.32433319091797)","(193.85425, 118.00641632080078)","(204.636968, 113.93865203857422)","(220.954228, 110.09912109375)","(233.984502, 106.47758483886719)","(250.685946, 103.06365203857422)","(262.138948, 99.84169006347656)"
mnist,2,1,72.16953,"(7.723615, 174.75953674316406)","(11.768741, 167.06455993652344)","(15.883978, 160.34461975097656)","(19.809651, 154.0524139404297)","(23.878318, 148.0789031982422)","(27.973595, 142.40760803222656)","(31.876161, 137.02639770507812)","(35.950393, 131.921875)","(39.978366, 127.09063720703125)","(43.878436, 122.52205657958984)","(47.825526, 118.21929931640625)","(52.066624, 114.16014862060547)","(56.160327, 110.32855987548828)","(60.061217, 106.7198257446289)","(64.022356, 103.30661010742188)","(68.10713, 100.09107971191406)","(72.169475, 97.05374145507812)"
mnist,2,1,71.985496,"(7.805511, 174.7594451904297)","(11.842283, 167.06446838378906)","(15.783575, 160.34458923339844)","(19.80921, 154.05238342285156)","(23.821417, 148.07907104492188)","(27.876742, 142.40760803222656)","(31.881803, 137.0264434814453)","(35.705534, 131.92185974121094)","(39.836528, 127.09069061279297)","(43.858874, 122.5219497680664)","(47.88407, 118.21913146972656)","(51.914343, 114.16019439697266)","(55.956686, 110.32840728759766)","(59.988394, 106.71955871582031)","(63.999984, 103.30673217773438)","(68.015214, 100.09098052978516)","(71.985439, 97.05382537841797)"
mnist,2,2,52.104529,"(6.856463, 174.75584411621094)","(9.74006, 167.0518798828125)","(12.538111, 160.32394409179688)","(15.463211, 154.02566528320312)","(18.484146, 148.04510498046875)","(21.08848, 142.3678436279297)","(23.890879, 136.98175048828125)","(26.71837, 131.87356567382812)","(29.598113, 127.0384292602539)","(32.738153, 122.46580505371094)","(35.429845, 118.15789031982422)","(38.206687, 114.09609985351562)","(40.779283, 110.26097869873047)","(43.578812, 106.6474838256836)","(46.712623, 103.23487091064453)","(49.549886, 100.01606750488281)","(52.104473, 96.97771453857422)"
mnist,2,2,52.431606,"(6.887063, 174.755859375)","(10.06767, 167.05189514160156)","(12.915562, 160.32400512695312)","(15.721466, 154.02574157714844)","(18.663218, 148.04505920410156)","(21.483532, 142.36782836914062)","(24.318502, 136.98162841796875)","(27.100724, 131.8733367919922)","(29.971525, 127.03846740722656)","(32.815174, 122.4655990600586)","(35.658776, 118.15789794921875)","(38.563, 114.09607696533203)","(41.347329, 110.2610092163086)","(44.187498, 106.64751434326172)","(47.052294, 103.23487091064453)","(49.940893, 100.01602935791016)","(52.431552, 96.97775268554688)"
mnist,2,3,81.916321,"(11.624558, 174.75575256347656)","(16.079533, 167.0571746826172)","(20.534645, 160.33567810058594)","(24.961907, 154.04017639160156)","(28.569255, 148.0618133544922)","(34.257104, 142.3875274658203)","(38.056535, 137.00137329101562)","(41.825828, 131.89500427246094)","(46.184996, 127.06204986572266)","(51.322849, 122.49068450927734)","(55.172608, 118.18476104736328)","(59.657094, 114.12305450439453)","(64.863099, 110.28863525390625)","(69.801204, 106.67683410644531)","(73.744448, 103.2642822265625)","(77.892737, 100.0457534790039)","(81.91625, 97.00817108154297)"
mnist,2,3,80.074002,"(10.668446, 174.7557830810547)","(14.871388, 167.05731201171875)","(19.961302, 160.33554077148438)","(24.720748, 154.04014587402344)","(28.624357, 148.06185913085938)","(32.196923, 142.38758850097656)","(36.598434, 137.00155639648438)","(41.617343, 131.89517211914062)","(45.354317, 127.0625228881836)","(50.65488, 122.49042510986328)","(54.280717, 118.18476867675781)","(58.277633, 114.12332153320312)","(62.405981, 110.28839111328125)","(66.991105, 106.67677307128906)","(71.298514, 103.26424407958984)","(76.953812, 100.04592895507812)","(80.073924, 97.0079345703125)"
mnist,2,4,77.053248,"(13.323065, 174.74961853027344)","(18.07071, 167.021240234375)","(21.709193, 160.27734375)","(27.039773, 153.96522521972656)","(30.616617, 147.9719696044922)","(35.00377, 142.28408813476562)","(38.899993, 136.88671875)","(43.093234, 131.77139282226562)","(46.954459, 126.9250259399414)","(52.226668, 122.3482437133789)","(55.41527, 118.0330581665039)","(60.135324, 113.96781158447266)","(64.486116, 110.12667846679688)","(69.38307, 106.50884246826172)","(72.556774, 103.09339904785156)","(77.053175, 99.87269592285156)"
mnist,2,4,77.340916,"(14.209336, 174.74957275390625)","(17.406685, 167.02134704589844)","(22.408516, 160.27735900878906)","(26.030583, 153.96487426757812)","(30.087111, 147.9721221923828)","(35.175752, 142.2841796875)","(39.450298, 136.8867645263672)","(44.167947, 131.77133178710938)","(48.119458, 126.92497253417969)","(52.241687, 122.34850311279297)","(56.358965, 118.0330581665039)","(60.148593, 113.96796417236328)","(65.493692, 110.12684631347656)","(69.168893, 106.50898742675781)","(72.988883, 103.09326171875)","(77.340849, 99.87239837646484)"
