mnist,1,1,47.801484
mnist,1,1,48.227253
mnist,1,2,62.972204
mnist,1,2,62.306617
mnist,1,3,74.502231
mnist,1,3,76.707479
mnist,1,4,87.520475
mnist,1,4,88.009691
mnist,1,5,99.657585
mnist,1,5,100.390358
mnist,1,6,111.972681
mnist,1,6,112.28315
mnist,1,7,144.132952
mnist,1,7,141.087033
mnist,1,8,146.388876
mnist,1,8,147.934533
mnist,2,1,42.286527
mnist,2,1,42.443042
mnist,2,2,32.303953
mnist,2,2,32.736861
mnist,2,3,46.384361
mnist,2,3,43.588309
mnist,2,4,50.205437
mnist,2,4,50.572459
mnist,2,5,60.530946
mnist,2,5,59.988063
mnist,2,6,66.166585
mnist,2,6,65.663607
mnist,2,7,81.550366
mnist,2,7,79.449391
mnist,2,8,86.018533
mnist,2,8,88.104786
mnist,3,1,40.657917
mnist,3,1,41.592759
mnist,3,2,31.224545
mnist,3,2,31.096489
mnist,3,3,30.632806
mnist,3,3,30.111415
mnist,3,4,41.5405
mnist,3,4,40.773048
mnist,3,5,46.608519
mnist,3,5,49.027363
mnist,3,6,52.34782
mnist,3,6,51.785825
mnist,3,7,64.651789
mnist,3,7,64.900468
mnist,3,8,66.936482
mnist,3,8,68.149439
mnist,4,1,39.431365
mnist,4,1,41.013641
mnist,4,2,28.567632
mnist,4,2,29.320083
mnist,4,3,27.999109
mnist,4,3,29.729787
mnist,4,4,29.468282
mnist,4,4,30.639618
mnist,4,5,40.418371
mnist,4,5,38.39242
mnist,4,6,45.920235
mnist,4,6,45.383409
mnist,4,7,51.577576
mnist,4,7,53.781105
mnist,4,8,55.007148
mnist,4,8,56.927725
mnist,5,1,39.75188
mnist,5,1,39.797444
mnist,5,2,28.343402
mnist,5,2,27.833214
mnist,5,3,27.649232
mnist,5,3,28.389357
mnist,5,4,26.89248
mnist,5,4,29.337003
mnist,5,5,28.785227
mnist,5,5,31.150934
mnist,5,6,39.528565
mnist,5,6,39.650834
mnist,5,7,47.217971
mnist,5,7,47.183828
mnist,5,8,57.510755
mnist,5,8,51.836147
mnist,6,1,39.700378
mnist,6,1,39.518426
mnist,6,2,27.142174
mnist,6,2,28.122472
mnist,6,3,26.836355
mnist,6,3,25.254246
mnist,6,4,25.574472
mnist,6,4,27.489604
mnist,6,5,30.025049
mnist,6,5,29.309391
