mnist,1,1,101.334374,"(9.004891, 174.7594451904297)","(14.721446, 167.06300354003906)","(20.527682, 160.34483337402344)","(26.239366, 154.052490234375)","(31.994491, 148.08038330078125)","(37.73885, 142.40821838378906)","(43.519613, 137.02496337890625)","(49.228369, 131.92169189453125)","(54.997052, 127.09104919433594)","(60.74459, 122.52378845214844)","(66.528219, 118.2181167602539)","(72.302312, 114.16033172607422)","(78.017502, 110.32981872558594)","(83.797044, 106.71719360351562)","(89.644737, 103.30785369873047)","(95.528652, 100.0903549194336)","(101.3343, 97.05579376220703)"
mnist,1,1,101.870331,"(9.056349, 174.7594451904297)","(14.832982, 167.06300354003906)","(20.688056, 160.34483337402344)","(26.446816, 154.05252075195312)","(32.278028, 148.08038330078125)","(38.064064, 142.40821838378906)","(43.896253, 137.0249786376953)","(49.678086, 131.92169189453125)","(55.505257, 127.09104919433594)","(61.284433, 122.52378845214844)","(67.118689, 118.21812438964844)","(72.925482, 114.16032409667969)","(78.696009, 110.32982635498047)","(84.530142, 106.71721649169922)","(90.302731, 103.307861328125)","(96.117107, 100.09037780761719)","(101.870265, 97.05579376220703)"
mnist,1,2,118.837643,"(13.054789, 174.7567901611328)","(19.648042, 167.04977416992188)","(26.235386, 160.32394409179688)","(32.996855, 154.0249481201172)","(39.603006, 148.04690551757812)","(46.202941, 142.36920166015625)","(52.792807, 136.98068237304688)","(59.349417, 131.87265014648438)","(65.950092, 127.03754425048828)","(72.564631, 122.46617889404297)","(79.26221, 118.15690612792969)","(85.847511, 114.09561157226562)","(92.449522, 110.26224517822266)","(99.030844, 106.6468505859375)","(105.600667, 103.23512268066406)","(112.262845, 100.01569366455078)","(118.837567, 96.97935485839844)"
mnist,1,2,121.604764,"(13.155303, 174.7567901611328)","(19.863801, 167.04977416992188)","(26.575422, 160.32391357421875)","(33.456151, 154.0249481201172)","(40.159691, 148.04690551757812)","(46.881697, 142.36920166015625)","(53.596224, 136.9806365966797)","(60.319806, 131.8726348876953)","(67.057702, 127.03755187988281)","(73.869459, 122.46619415283203)","(80.703867, 118.15689849853516)","(87.482844, 114.09561157226562)","(94.318048, 110.26225280761719)","(101.049448, 106.6468505859375)","(107.882545, 103.23513793945312)","(114.726913, 100.01568603515625)","(121.604679, 96.97936248779297)"
mnist,1,3,142.361155,"(17.712135, 174.7553253173828)","(25.466218, 167.05690002441406)","(33.277742, 160.3353271484375)","(41.059572, 154.03929138183594)","(49.078485, 148.06390380859375)","(56.839202, 142.38815307617188)","(64.578906, 137.00148010253906)","(72.35395, 131.89492797851562)","(80.10578, 127.06153869628906)","(87.842913, 122.49146270751953)","(95.580984, 118.18351745605469)","(103.432655, 114.12328338623047)","(111.343272, 110.2906723022461)","(119.160262, 106.67558288574219)","(126.917605, 103.26446533203125)","(134.651796, 100.04545593261719)","(142.361087, 97.00942993164062)"
mnist,1,3,143.920602,"(17.587499, 174.75531005859375)","(25.479366, 167.05690002441406)","(33.324403, 160.3353271484375)","(41.167534, 154.03929138183594)","(49.282435, 148.0638885498047)","(57.149549, 142.38815307617188)","(64.991258, 137.00146484375)","(72.886601, 131.89492797851562)","(80.753277, 127.06151580810547)","(88.59393, 122.4914779663086)","(96.526259, 118.18350219726562)","(104.437837, 114.12327575683594)","(112.46752, 110.29066467285156)","(120.296666, 106.67557525634766)","(128.138191, 103.26445007324219)","(136.031394, 100.04545593261719)","(143.920533, 97.0094223022461)"
mnist,1,4,155.69845,"(22.513788, 174.75013732910156)","(31.403277, 167.02053833007812)","(40.235354, 160.2777862548828)","(49.100706, 153.9645233154297)","(57.956632, 147.9738006591797)","(66.9303, 142.2852783203125)","(75.798388, 136.8864288330078)","(84.632352, 131.7692108154297)","(93.539154, 126.92574310302734)","(102.363539, 122.34759521484375)","(111.239297, 118.03275299072266)","(120.097232, 113.96611785888672)","(128.972781, 110.12824249267578)","(137.946803, 106.50918579101562)","(146.835231, 103.09461212158203)","(155.698373, 99.87237548828125)"
mnist,1,4,155.26679,"(22.534345, 174.75013732910156)","(31.362842, 167.0205535888672)","(40.203302, 160.2777862548828)","(49.078134, 153.9645233154297)","(57.948046, 147.97381591796875)","(66.888758, 142.28529357910156)","(75.679715, 136.88644409179688)","(84.51678, 131.7692413330078)","(93.369158, 126.92576599121094)","(102.19273, 122.34760284423828)","(111.034712, 118.03275299072266)","(119.869348, 113.96614074707031)","(128.71135, 110.12826538085938)","(137.640737, 106.50920104980469)","(146.474196, 103.0946273803711)","(155.266712, 99.87238311767578)"
mnist,1,5,187.645998,"(27.437074, 174.76622009277344)","(37.489265, 167.09274291992188)","(47.481864, 160.3916015625)","(57.477502, 154.11314392089844)","(67.46777, 148.15464782714844)","(77.568844, 142.49411010742188)","(87.606225, 137.1210174560547)","(97.603492, 132.0271453857422)","(107.552534, 127.2051773071289)","(117.577685, 122.64585876464844)","(127.585492, 118.34733581542969)","(137.560038, 114.29444122314453)","(147.572567, 110.46939086914062)","(157.509747, 106.86068725585938)","(167.627309, 103.45541381835938)","(177.654592, 100.24143981933594)","(187.645922, 97.20955657958984)"
mnist,1,5,185.949813,"(27.161833, 174.76622009277344)","(37.156746, 167.09271240234375)","(47.053447, 160.39158630371094)","(56.982788, 154.11312866210938)","(66.94663, 148.15463256835938)","(76.943661, 142.4940948486328)","(86.886936, 137.1210174560547)","(96.76905, 132.0271453857422)","(106.676385, 127.20516204833984)","(116.60034, 122.6458511352539)","(126.496687, 118.34732818603516)","(136.341976, 114.29444122314453)","(146.22096, 110.46937561035156)","(156.095806, 106.86066436767578)","(166.11431, 103.45541381835938)","(176.043027, 100.24144744873047)","(185.949729, 97.20954895019531)"
